Action Bias,Observation Noise,Action Noise,Num Ghosts,Time Step,Guessed Cell,Probability of Guess,Guessed heading,Location Correct,Heading Correct
0.1,0.0,0.0,2,29,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,30,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,31,"(1, 3)",1.0,Headings.W,True,False
0.1,0.0,0.0,2,32,"(1, 3)",1.0,Headings.W,False,False
0.1,0.0,0.0,2,33,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,34,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,35,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,36,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,37,"(1, 3)",1.0,Headings.W,False,False
0.1,0.0,0.0,2,38,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,39,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,40,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,41,"(1, 3)",1.0,Headings.W,False,False
0.1,0.0,0.0,2,42,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,43,"(1, 3)",1.0,Headings.W,False,False
0.1,0.0,0.0,2,44,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,45,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,46,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,47,"(1, 3)",0.0,Headings.W,False,False
0.1,0.0,0.0,2,48,"(1, 3)",0.0,Headings.W,False,True
0.1,0.0,0.0,2,49,"(1, 3)",0.0,Headings.W,False,False
